,,,,,,,,,,,,,,,,
,,,Protocol: Absorbance Quick Read,,,,,,,,,,,,,
,,,Result: PER-005 plate1 Absorbance Quick Read 2024.10.01 14:15:02,,,,,,,,,,,,,
,,,Quick read,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,
,Measurement Filter:,,600,,,,,,,,,,,,,
,Reference Filter:,,None,,,,,,,,,,,,,
,Reading:,,1,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,A,1.03E+00,1.06E+00,1.09E+00,1.07E+00,1.06E+00,1.06E+00,1.01E+00,8.99E-01,8.19E-01,8.37E-01,4.31E-01,5.57E-01
,,,,B,1.02E+00,9.90E-01,1.07E+00,1.07E+00,1.07E+00,1.06E+00,9.69E-01,8.77E-01,8.33E-01,8.35E-01,2.46E-01,5.58E-01
,,,,C,9.88E-01,9.91E-01,1.10E+00,9.30E-01,1.04E+00,1.06E+00,1.01E+00,8.89E-01,8.26E-01,8.54E-01,2.72E-01,5.92E-01
,,,,D,1.01E+00,9.86E-01,9.17E-01,9.38E-01,1.01E+00,9.89E-01,9.01E-01,8.47E-01,6.29E-01,7.32E-01,4.02E-01,1.45E-01
,,,,E,4.86E-01,4.03E-01,7.87E-01,2.97E-01,3.35E-01,1.72E-01,7.09E-02,7.21E-02,7.24E-02,6.93E-02,6.90E-02,7.05E-02
,,,,F,6.24E-01,6.05E-01,5.68E-01,1.59E-01,1.35E-01,3.12E-01,7.45E-02,7.92E-02,7.10E-02,7.33E-02,7.06E-02,7.01E-02
,,,,G,7.59E-01,7.05E-01,3.59E-01,2.73E-01,7.48E-02,1.27E-01,6.81E-02,7.22E-02,7.35E-02,7.02E-02,7.19E-02,7.17E-02
,,,,H,1.61E-01,1.60E-01,3.90E-01,1.29E-01,1.10E-01,2.04E-01,9.88E-02,1.05E-01,1.01E-01,9.54E-02,7.98E-02,7.48E-02
