row,column,well_results,value,plate_name,plate_id,well_platemap,Control,Chemical
1,1,A01,0.344,1,1,A01,Negative,SB-001
1,2,A02,0.353,1,1,A02,Positive,SB-002
1,3,A03,0.367,1,1,A03,Library,SB-003
1,4,A04,0.373,1,1,A04,Library,SB-004
1,5,A05,0.377,1,1,A05,Library,SB-005
1,6,A06,0.377,1,1,A06,Library,SB-006
1,7,A07,0.392,1,1,A07,Library,SB-007
1,8,A08,0.34,1,1,A08,Library,SB-008
1,9,A09,0.349,1,1,A09,Library,SB-009
1,10,A10,0.316,1,1,A10,Library,SB-010
1,11,A11,0.331,1,1,A11,Library,SB-011
1,12,A12,0.303,1,1,A12,Library,SB-012
2,1,B01,0.097,1,1,B01,Negative,SB-001
2,2,B02,0.082,1,1,B02,Positive,SB-002
2,3,B03,0.097,1,1,B03,Library,SB-003
2,4,B04,0.078,1,1,B04,Library,SB-004
2,5,B05,0.093,1,1,B05,Library,SB-005
2,6,B06,0.09,1,1,B06,Library,SB-006
2,7,B07,0.078,1,1,B07,Library,SB-007
2,8,B08,0.07,1,1,B08,Library,SB-008
2,9,B09,0.082,1,1,B09,Library,SB-009
2,10,B10,0.082,1,1,B10,Library,SB-010
2,11,B11,0.088,1,1,B11,Library,SB-011
2,12,B12,0.066,1,1,B12,Library,SB-012
3,1,C01,0.055,1,1,C01,Negative,SB-001
3,2,C02,0.056,1,1,C02,Positive,SB-002
3,3,C03,0.049,1,1,C03,Library,SB-003
3,4,C04,0.057,1,1,C04,Library,SB-004
3,5,C05,0.046,1,1,C05,Library,SB-005
3,6,C06,0.046,1,1,C06,Library,SB-006
3,7,C07,0.052,1,1,C07,Library,SB-007
3,8,C08,0.054,1,1,C08,Library,SB-008
3,9,C09,0.053,1,1,C09,Library,SB-009
3,10,C10,0.054,1,1,C10,Library,SB-010
3,11,C11,0.061,1,1,C11,Library,SB-011
3,12,C12,0.057,1,1,C12,Library,SB-012
4,1,D01,0.046,1,1,D01,Negative,SB-001
4,2,D02,0.048,1,1,D02,Positive,SB-002
4,3,D03,0.047,1,1,D03,Library,SB-003
4,4,D04,0.045,1,1,D04,Library,SB-004
4,5,D05,0.046,1,1,D05,Library,SB-005
4,6,D06,0.045,1,1,D06,Library,SB-006
4,7,D07,0.052,1,1,D07,Library,SB-007
4,8,D08,0.047,1,1,D08,Library,SB-008
